delivery speed,price level,manufactors image,service,salesforce image,product quality,firm size,purchase structure,industry type,buying situation,usage level,satisfaction level
4.1,0.6,4.7,2.4,2.3,5.2,0,0,1,1,32,4.2
1.8,3,6.6,2.5,4,8.4,1,1,0,1,43,4.3
3.4,5.2,6,4.3,2.7,8.2,1,1,1,2,48,5.2
2.7,1,5.9,1.8,2.3,7.8,1,1,1,1,32,3.9
6,0.9,7.8,3.4,4.6,4.5,0,0,1,3,58,6.8
1.9,3.3,4.8,2.6,1.9,9.7,1,1,1,2,45,4.4
4.6,2.4,6.6,3.5,4.5,7.6,0,0,1,1,46,5.8
1.3,4.2,5.1,2.8,2.2,6.9,1,1,0,2,44,4.3
5.5,1.6,4.7,3.5,3,7.6,0,0,1,3,63,5.4
4,3.5,6,3.7,3.2,8.7,1,1,0,2,54,5.4
2.4,1.6,4.8,2,2.8,5.8,0,0,0,1,32,4.3
3.9,2.2,4.6,3,2.5,8.3,0,0,1,2,47,5
2.8,1.4,3.8,2.1,1.4,6.6,1,1,0,1,39,4.4
3.7,1.5,5.7,2.7,3.7,6.7,0,0,1,1,38,5
4.7,1.3,6.7,3,2.6,6.8,0,0,0,3,54,5.9
3.4,2,4.7,2.7,1.7,4.8,0,0,0,3,49,4.7
3.2,4.1,5.1,3.6,2.9,6.2,0,1,1,2,38,4.4
4.9,1.8,4.3,3.4,1.5,5.9,0,0,0,2,40,5.6
5.3,1.4,6.1,3.3,3.9,6.8,0,0,1,3,54,5.9
4.7,1.3,6.7,3,2.6,6.8,0,0,0,3,55,6
3.3,0.9,4,2.1,1.8,6.3,0,0,0,2,41,4.5
3.4,0.4,2.5,1.2,1.7,5.2,0,0,0,1,35,3.3
3,4,7.1,3.5,3.4,8.4,0,1,0,3,55,5.2
2.4,1.5,4.8,1.9,2.5,7.2,1,1,0,1,36,3.7
5.1,1.4,4.8,3.3,2.6,3.8,0,0,0,2,49,4.9
4.6,2.1,5.8,3.4,2.8,4.7,0,0,1,3,49,5.9
2.4,1.5,4.8,1.9,2.5,7.2,1,1,0,1,36,3.7
5.2,1.3,6.1,3.2,3.9,6.7,0,0,1,3,54,5.8
3.5,2.8,3.5,3.1,1.7,5.4,0,0,1,3,49,5.4
4.1,3.7,5.5,3.9,3,8.4,1,1,0,2,46,5.1
3,3.2,5.3,3.1,3,8,1,1,0,1,43,3.3
2.8,3.8,6.9,3.3,3.2,8.2,0,1,0,3,53,5
5.2,2,5.9,3.7,2.4,4.6,0,0,0,3,60,6.1
3.4,3.7,5.7,3.5,3.4,8.4,1,1,0,1,47,3.8
2.4,1,3.4,1.7,1.1,6.2,1,1,0,1,35,4.1
1.8,3.3,4.5,2.5,2.4,7.6,1,1,1,1,39,3.6
3.6,4,5.8,3.7,2.5,9.3,1,1,1,2,44,4.8
4,0.9,5.4,2.4,2.6,7.3,0,0,1,3,46,5.1
0,2.1,5.4,1.1,2.6,8.9,1,1,1,1,29,3.9
2.4,2,4.5,2.1,2.2,8.8,1,1,1,1,28,3.3
1.9,3.4,4.6,2.6,2.5,7.7,1,1,1,1,40,3.7
5.9,0.9,7.8,3.4,4.6,4.5,0,0,1,3,58,6.7
4.9,2.3,4.5,3.6,1.3,6.2,0,0,0,3,53,5.9
5,1.3,4.7,3.1,2.5,3.7,0,0,0,2,48,4.8
2,2.6,3.7,2.4,1.7,8.5,1,1,1,1,38,3.2
5,2.5,4.6,3.7,1.4,6.3,0,0,0,3,54,6
3.1,1.9,4.5,2.6,3.2,3.8,0,0,1,3,55,4.9
3.4,3.9,5.6,3.6,2.3,9.1,1,1,1,2,43,4.7
5.8,0.2,4.5,3,2.4,6.7,0,0,1,3,57,4.9
5.4,2.1,3,3.8,1.4,5.2,0,0,1,3,53,3.8
3.7,0.7,6,2.1,2.5,5.2,0,0,0,2,41,5
2.6,4.8,5,3.6,2.5,9,1,1,1,2,53,5.2
4.5,4.1,5.9,4.3,3.4,8.8,1,1,0,2,50,5.5
2.8,2.4,4.9,2.5,2.6,9.2,1,1,1,1,32,3.7
3.8,0.8,2.9,1.6,2.1,5.6,0,0,0,1,39,3.7
2.9,2.6,7,2.8,3.6,7.7,0,1,1,2,47,4.2
4.9,4.4,6.9,4.6,4,9.6,1,1,0,2,62,6.2
5.4,2.5,5.5,4,3,7.7,0,0,0,3,65,6
4.3,1.8,5.4,3.1,2.5,4.4,0,0,1,3,46,5.6
2.3,4.5,4.7,3.3,2.2,8.7,1,1,1,2,50,5
3.1,1.9,4.5,2.6,3.1,3.8,0,0,1,3,54,4.8
5.1,1.9,5.8,3.6,2.3,4.5,0,0,0,3,60,6.1
4.1,1.1,5.5,2.5,2.7,7.4,0,0,1,3,47,5.3
3,3.8,4.9,3.4,2.6,6,0,1,1,2,36,4.2
1.1,2,4.7,1.6,3.2,10,1,1,1,1,40,3.4
3.7,1.4,4.5,2.6,2.3,6.8,0,0,0,2,45,4.9
4.2,2.5,6.2,3.3,3.9,7.3,0,0,0,3,59,6
1.6,4.5,5.3,3,2.5,7.1,1,1,0,2,46,4.5
5.3,1.7,3.7,3.5,1.9,4.8,0,0,0,3,58,4.3
2.3,3.7,5.2,3,2.3,9.1,1,1,1,2,49,4.8
3.6,5.4,6.2,4.5,2.9,8.4,1,1,1,2,50,5.4
5.6,2.2,3.1,4,1.6,5.3,0,0,1,3,55,3.9
3.6,2.2,4.8,2.9,1.9,4.9,0,0,0,3,51,4.9
5.2,1.3,4.5,3.3,2.7,7.3,0,0,1,3,60,5.1
3,2,6.6,2.4,2.7,8.2,1,1,0,1,41,4.1
4.2,2.4,4.9,3.2,2.7,8.5,0,0,1,2,49,5.2
3.8,0.8,6.1,2.2,2.6,5.3,0,0,0,2,42,5.1
3.3,2.6,3.3,2.9,1.5,5.2,0,0,1,3,47,5.1
1,1.9,4.5,1.5,3.1,9.9,1,1,1,1,39,3.3
4.5,1.6,4.6,3.1,2.1,6.8,0,0,0,3,56,5.1
5.5,1.8,3.8,3.6,2.1,4.9,0,0,0,3,59,4.5
3.4,4.6,8.2,4,4.4,6.3,0,1,1,2,47,5.6
1.6,2.8,6.4,2.3,3.8,8.2,1,1,0,1,41,4.1
2.3,3.7,5,3,2.5,7.4,0,1,0,1,37,4.4
2.6,3,6,2.8,2.8,6.8,1,1,0,2,53,5.6
2.5,3.1,4.2,2.8,2.2,9,1,1,1,1,43,3.7
2.4,2.9,5.9,2.7,2.7,6.7,1,1,0,2,51,5.5
2.1,3.5,4.8,2.8,2.3,7.2,0,1,0,1,36,4.3
2.9,1.2,6.1,2,2.5,8,1,1,1,1,34,4
4.3,2.5,6.3,3.4,4,7.4,0,0,0,3,60,6.1
3,2.8,7.1,3,3.8,7.9,0,1,1,2,49,4.4
4.8,1.7,4.2,3.3,1.4,5.8,0,0,0,2,39,5.5
3.1,4.2,7.8,3.6,4,5.9,0,1,1,2,43,5.2
1.9,2.7,4.9,2.2,2.5,8.2,1,1,0,1,36,3.6
4,0.5,4.5,2.2,2.1,5,0,0,1,1,31,4
0.6,1.6,5,0.7,2.1,8.4,1,1,1,1,25,3.4
6.1,0.5,4.8,3.3,2.8,7.1,0,0,1,3,60,5.2
2,2.8,5,2.4,2.7,8.4,1,1,0,1,38,3.7
3.1,2.2,6.8,2.6,2.9,8.4,1,1,0,1,42,4.3
2.5,1.8,5,2.2,3,6,0,0,0,1,33,4.4
